trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,grating.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,grating.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
29,0,29,0,36.05659430002561,,36.04417680000188,36.05659430002561,37.0566977999988,37.0566977999988,37.0566977999988,37.14204110001447,up,0,0.078956899989862,None,-2,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
30,0,30,0,37.15658880001865,,37.14466820002417,37.15658880001865,38.15657479999936,38.15657479999936,38.15657479999936,38.30990490000113,up,1,0.15011089999461547,None,0,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
31,0,31,0,38.32331360000535,,38.31299890001537,38.32331360000535,39.322974400012754,39.322974400012754,39.322974400012754,39.42578879999928,up,1,0.10023889999138191,None,0,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
32,0,32,0,39.439557800011244,,39.42820890000439,39.439557800011244,40.43971820001025,40.43971820001025,40.43971820001025,40.458519800013164,down,0,0.016064499999629334,None,0,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
33,0,33,0,40.472749800013844,,40.461005999997724,40.472749800013844,41.47293330001412,41.47293330001412,41.47293330001412,41.4911601000058,up,0,0.014191300026141107,None,-3,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
34,0,34,0,41.505815100012114,,41.493470000015805,41.505815100012114,42.5060705000069,42.5060705000069,42.5060705000069,43.1075691000151,down,1,0.5895930000115186,None,3,42.805955800024094,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
35,0,35,0,43.12223020000965,,43.1102006000001,43.12223020000965,44.1226605999982,44.1226605999982,44.1226605999982,44.27403120000963,down,1,0.14400400000158697,None,4,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
36,0,36,0,44.28905089999898,,44.27654690001509,44.28905089999898,45.28902540000854,45.28902540000854,45.28902540000854,45.3071185000008,up,0,0.011605199979385361,None,-3,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
37,0,37,0,45.32194730002084,,45.30952520002029,45.32194730002084,46.3221386000223,46.3221386000223,46.3221386000223,46.64046419999795,down,1,0.3019033999880776,None,-4,46.621987100021215,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
38,0,38,0,46.655317199998535,,46.643207500019344,46.655317199998535,47.65543240000261,47.65543240000261,47.65543240000261,47.708910500019556,up,0,0.04925330000696704,None,4,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
39,0,39,0,47.72170910000568,,47.71145490001072,47.72170910000568,48.72170210001059,48.72170210001059,48.72170210001059,48.74079550002352,down,1,0.007236900011776015,None,-2,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
40,0,40,0,48.75507920002565,,48.74348130001454,48.75507920002565,49.755130900011864,49.755130900011864,49.755130900011864,49.97292570001446,down,0,0.2131048000010196,None,0,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
41,0,41,0,49.98819830000866,,49.97584420000203,49.98819830000866,50.98829310000292,50.98829310000292,50.98829310000292,51.0244961999997,up,0,0.03368769999360666,None,2,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
42,0,42,0,51.038194799999474,,51.02742440000293,51.038194799999474,52.038126700004796,52.038126700004796,52.038126700004796,52.07309869999881,down,1,0.024215699988417327,None,3,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
43,0,43,0,52.08784490000107,,52.075834100018255,52.08784490000107,53.08800820002216,53.08800820002216,53.08800820002216,53.1566694000212,down,1,0.057045399997150525,None,4,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
44,0,44,0,53.171141600003466,,53.159384200000204,53.171141600003466,54.17096090002451,54.17096090002451,54.17096090002451,54.3405136000074,up,0,0.16649309999775141,None,-5,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
45,0,45,0,54.354296500008786,,54.34312620002311,54.354296500008786,55.35445850001997,55.35445850001997,55.35445850001997,55.48955070000375,down,0,None,None,0,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
46,0,46,0,55.504221500013955,,55.492620700009866,55.504221500013955,56.504238599998644,56.504238599998644,56.504238599998644,56.78947010001866,down,1,0.2770114000013564,None,1,56.804643300012685,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
47,0,47,0,56.804643300012685,,56.79187230000389,56.804643300012685,57.80410470001516,57.80410470001516,57.80410470001516,57.90557080000872,up,0,0.09512849999009632,None,4,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
48,0,48,0,57.920504100009566,,57.908112300006906,57.920504100009566,58.920533099997556,58.920533099997556,58.920533099997556,58.95577970001614,down,1,0.027931699994951487,None,3,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
49,0,49,0,58.97030120002455,,58.95799399999669,58.97030120002455,59.97029930001008,59.97029930001008,59.97029930001008,60.02211119999993,up,1,0.0369868999987375,None,0,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
50,0,50,0,60.03708460001508,,60.024879400007194,60.03708460001508,61.0372002000222,61.0372002000222,61.0372002000222,61.20505570000387,up,1,0.1641276000009384,None,0,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
51,0,51,0,61.220020100008696,,61.20801719999872,61.220020100008696,62.21989249999751,62.21989249999751,62.21989249999751,62.67189170001075,up,0,0.4483122999954503,None,-5,62.52000869999756,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
52,0,52,0,62.68654080000124,,62.67464940002537,62.68654080000124,63.686705700005405,63.686705700005405,63.686705700005405,63.77122470000177,down,1,0.07706160002271645,None,4,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
53,0,53,0,63.7865024000057,,63.773967700020876,63.7865024000057,64.78648940002313,64.78648940002313,64.78648940002313,64.80519420001656,up,0,0.01590339999529533,None,-5,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
54,0,54,0,64.81967960001202,,64.80784930000664,64.81967960001202,65.81956200001878,65.81956200001878,65.81956200001878,65.90455770000699,down,1,None,None,3,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
55,0,55,0,65.91935280000325,,65.90732980001485,65.91935280000325,66.91940460001933,66.91940460001933,66.91940460001933,67.10424190000049,up,0,0.17833630001405254,None,1,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
56,0,56,0,67.11928210000042,,67.10706650000066,67.11928210000042,68.11921600002097,68.11921600002097,68.11921600002097,68.18835989999934,up,0,0.06653989999904297,None,-2,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
57,0,57,0,68.20252800002345,,68.19081780000124,68.20252800002345,69.20259680002346,69.20259680002346,69.20259680002346,69.48792120002327,down,0,0.27241419997881167,None,0,69.50264640001114,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
58,0,58,0,69.50264640001114,,69.49093690002337,69.50264640001114,70.50249660000554,70.50249660000554,70.50249660000554,70.55486870001187,down,0,0.04941169999074191,None,0,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
59,0,59,0,70.56878600001801,,70.55799620001926,70.56878600001801,71.5688018000219,71.5688018000219,71.5688018000219,71.604278600018,down,1,0.022962300019571558,None,4,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
